length,output_l2_mean,output_l2_std,relative_l2_mean,relative_l2_std,uncalibrated_l2_mean,uncalibrated_l2_std,beta_mean,beta_std,trajectory_mean_l2_mean,trajectory_mean_l2_std,improved_count,distributed_early_eos_count,single_early_eos_count,identical_generated_context_count,pre_eos_trajectory_l2_mean,pre_eos_trajectory_l2_std
4,0.6062555861844887,0.6768619982983988,0.7904181927572941,0.7894250217242575,0.4239398067172238,0.5896116897960764,2.1188163069496024,15.43622774258834,0.32466062673664436,0.3818197553811524,41,24,25,21,0.2852895890324421,0.38365521108907075
8,0.6449725299454461,0.77643271572359,0.7110647142937806,0.6023294796301325,0.4419548293503117,0.6174386880333707,2.941781576597819,17.413802284578452,0.37508458959351926,0.45050767633658567,44,24,25,20,0.324558663799068,0.4503675206813384
16,0.7209335112886279,0.791749578701684,0.9192347833443235,0.8345131066470707,0.4738421172168079,0.5936301693440064,5.457630073057678,29.46286450598772,0.46696391553826744,0.40489188668633125,41,24,26,11,0.40955424726474876,0.4119667778030221
32,0.7187984872375043,0.7541962334679335,1.0048308105107233,0.9083203643446278,0.5535444901144505,0.6116707797122161,13.306613517769781,50.90651929005618,0.55638757520333,0.43487806900442283,45,22,26,4,0.49730718025893866,0.45179226165353764
64,0.8401805638158433,0.8910508179668797,1.1831930861413584,1.3393995763257638,0.6053749239911004,0.598714970908,39.88162510741728,135.94716556971792,0.5648775491578272,0.3951213373784144,40,24,26,2,0.5076169915664638,0.4049652828844117
128,0.6861403604385875,0.6412100139771869,0.9839078424827208,0.8683724423248054,0.6065932384506023,0.5757467571803493,158.44137126933464,489.900902781436,0.6090736474456935,0.4250219525254415,42,21,24,0,0.5563953397280988,0.43713672148220317
