length,factor,output_l2_mean,output_l2_std,uncalibrated_l2_mean,uncalibrated_l2_std,target_effect_l2_mean,target_effect_l2_std,beta_mean,beta_std,error_over_target_effect_mean,error_over_target_effect_std,improved_count
4,0.001,0.0067310659124632365,0.012361255252340171,0.003155108955324977,0.006100582984041539,0.0067380307307757905,0.012374408311950176,0.4895007196802636,1.0078772703979717,0.9989866503895121,0.0001572039124978711,0
4,0.01,0.006668395811211667,0.012242831303019536,0.003155108955324977,0.006100582984041539,0.0067380307307757905,0.012374408311950176,0.4895007196802636,1.0078772703979717,0.9899168337584666,0.0016124959618673122,0
4,0.1,0.006044952708834899,0.011051489820180217,0.003155108955324977,0.006100582984041539,0.0067380307307757905,0.012374408311950176,0.4895007196802636,1.0078772703979717,0.9030080103447748,0.01986387626151622,7
4,1.0,0.002326930736689974,0.005782661212788085,0.003155108955324977,0.006100582984041539,0.0067380307307757905,0.012374408311950176,0.4895007196802636,1.0078772703979717,0.48182666221085113,0.3103803563468729,73
4,10.0,0.01935132385129691,0.03849578151210945,0.003155108955324977,0.006100582984041539,0.0067380307307757905,0.012374408311950176,0.4895007196802636,1.0078772703979717,2.2706195687456567,0.9329459823894247,1
8,0.001,0.00937415516760666,0.015006312729713246,0.005918979925627355,0.00935043084489257,0.00938361346052261,0.015021739643160994,0.9643304511956455,2.5623531974846454,0.9989988099251037,0.0001599917793475392,0
8,0.01,0.009289172212884295,0.014867205184850501,0.005918979925627355,0.00935043084489257,0.00938361346052261,0.015021739643160994,0.9643304511956455,2.5623531974846454,0.990063759176739,0.0016904336704289136,1
8,0.1,0.008452613920089789,0.01345744004201287,0.005918979925627355,0.00935043084489257,0.00938361346052261,0.015021739643160994,0.9643304511956455,2.5623531974846454,0.9071731563474796,0.022469092917064573,22
8,1.0,0.0046788787376499386,0.008137368628381764,0.005918979925627355,0.00935043084489257,0.00938361346052261,0.015021739643160994,0.9643304511956455,2.5623531974846454,0.6243056783336363,0.3038435934287454,64
8,10.0,0.020651507101720198,0.039187036581425944,0.005918979925627355,0.00935043084489257,0.00938361346052261,0.015021739643160994,0.9643304511956455,2.5623531974846454,1.7472968953604577,0.7919029035559979,4
16,0.001,0.014653333500318695,0.019483641174389218,0.011273802038049325,0.015309742534248678,0.01466781235212693,0.01950285782225976,2.046154105645328,4.095424534552555,0.9990040351162169,0.00016424868415226216,0
16,0.01,0.014524257005832623,0.019310559186160356,0.011273802038049325,0.015309742534248678,0.01466781235212693,0.01950285782225976,2.046154105645328,4.095424534552555,0.9902063263238177,0.001823774275685325,3
16,0.1,0.013360943232837598,0.01771142744259736,0.011273802038049325,0.015309742534248678,0.01466781235212693,0.01950285782225976,2.046154105645328,4.095424534552555,0.9151381199259271,0.02975189421944182,39
16,1.0,0.009967317070113495,0.015033290069441426,0.011273802038049325,0.015309742534248678,0.01466781235212693,0.01950285782225976,2.046154105645328,4.095424534552555,0.755651277148645,0.2826201766489696,50
16,10.0,0.024632479924475773,0.04039614581429411,0.011273802038049325,0.015309742534248678,0.01466781235212693,0.01950285782225976,2.046154105645328,4.095424534552555,1.4212152576128607,0.6741889908878452,9
32,0.001,0.023741365448222494,0.026248952422806598,0.020450550087261946,0.023439654763739142,0.0237651328422362,0.026274885710968594,5.145565664976938,14.961833304328396,0.9989940229012766,0.00015541548432609356,1
32,0.01,0.02353464504587464,0.02601938755338733,0.020450550087261946,0.023439654763739142,0.0237651328422362,0.026274885710968594,5.145565664976938,14.961833304328396,0.9903250290623913,0.00200999780271233,8
32,0.1,0.02197678978787735,0.024431412628107767,0.020450550087261946,0.023439654763739142,0.0237651328422362,0.026274885710968594,5.145565664976938,14.961833304328396,0.9270496540378482,0.03669023493395344,56
32,1.0,0.019341699535725638,0.023728949996202366,0.020450550087261946,0.023439654763739142,0.0237651328422362,0.026274885710968594,5.145565664976938,14.961833304328396,0.8586968133780652,0.24186721165448424,38
32,10.0,0.03231705933401827,0.04270828073626221,0.020450550087261946,0.023439654763739142,0.0237651328422362,0.026274885710968594,5.145565664976938,14.961833304328396,1.2121123766680824,0.5346922446521329,23
64,0.001,0.04689379036193714,0.04493780606260925,0.04368056058185175,0.0436895709802284,0.046940817781724035,0.044982312464209015,15.298409497443815,30.844813092686916,0.9990008352648914,0.00015354191256029907,3
64,0.01,0.046516586600337174,0.044564002647719876,0.04368056058185175,0.0436895709802284,0.046940817781724035,0.044982312464209015,15.298409497443815,30.844813092686916,0.9910878347423951,0.002594678654048023,29
64,0.1,0.04449112625792623,0.043379639730856824,0.04368056058185175,0.0436895709802284,0.046940817781724035,0.044982312464209015,15.298409497443815,30.844813092686916,0.9474643001508185,0.04149795473278795,67
64,1.0,0.04219700975576415,0.044616162537485425,0.04368056058185175,0.0436895709802284,0.046940817781724035,0.044982312464209015,15.298409497443815,30.844813092686916,0.9034580501112296,0.2188418785248629,46
64,10.0,0.05339953065151349,0.053219762249966725,0.04368056058185175,0.0436895709802284,0.046940817781724035,0.044982312464209015,15.298409497443815,30.844813092686916,1.1084786900435313,0.4150860260600608,43
